ID,CNT_TBM,CNT_ATM,CNT_POS,CNT_CSC,CNT_TOT
19464,54.0,6.0,2.0,1.0,63.0
14656,12.0,5.0,2.0,1.0,20.0
90211,151.0,3.0,2.0,1.0,157.0
98557,30.0,20.0,4.0,1.0,55.0
62213,146.0,9.0,42.0,1.0,198.0
34384,39.0,52.0,12.0,40.0,143.0
74575,139.0,15.0,70.0,1.0,225.0
2484,149.0,45.0,11.0,3.0,208.0
22655,54.0,3.0,2.0,1.0,60.0
70379,54.0,45.0,2.0,5.0,106.0
31419,11.0,13.0,2.0,5.0,31.0
93223,123.0,80.0,74.12481095,38.0,344.0
52566,251.0,37.0,20.0,1.0,309.0
29983,46.0,4.0,8.0,11.0,69.0
64557,128.0,30.0,2.0,1.0,161.0
52164,104.0,33.0,74.12481095,36.0,362.0
96530,36.0,11.0,7.0,1.0,55.0
51623,42.0,6.0,43.0,1.0,92.0
63486,57.0,9.0,2.0,1.0,69.0
72235,121.0,26.0,43.0,20.0,210.0
37884,17.0,6.0,20.0,1.0,44.0
73969,80.0,3.0,2.0,3.0,88.0
52986,32.0,3.0,2.0,6.0,43.0
9348,138.0,34.0,2.0,9.0,183.0
38721,126.0,60.0,20.0,8.0,214.0
36536,61.0,10.0,2.0,3.0,76.0
23724,17.0,3.0,2.0,2.0,24.0
56318,17.0,36.0,23.0,16.0,92.0
33811,48.0,39.0,2.0,2.0,91.0
53051,65.0,3.0,2.0,1.0,71.0
33971,86.0,58.0,60.0,42.0,246.0
2039,190.0,32.0,3.0,4.0,229.0
3900,19.0,19.0,2.0,1.0,41.0
63667,39.0,33.0,42.0,6.0,120.0
77331,65.0,22.0,20.0,1.0,108.0
83912,38.0,67.0,63.0,1.0,169.0
57623,10.0,14.0,2.0,1.0,27.0
69383,87.0,3.0,2.0,2.0,94.0
80760,47.0,7.0,2.0,1.0,57.0
97945,23.0,8.0,9.0,1.0,41.0
58429,38.0,8.0,7.0,2.0,55.0
23678,92.0,3.0,2.0,8.0,105.0
43377,27.0,35.0,2.0,5.0,69.0
12308,46.0,28.0,17.0,1.0,92.0
18605,26.0,4.0,2.0,2.0,34.0
64232,98.0,12.0,2.0,16.0,128.0
55176,77.0,3.0,2.0,3.0,85.0
70853,16.0,35.0,7.0,5.0,63.0
79801,52.0,3.0,2.0,1.0,58.0
60625,17.0,45.0,4.0,5.0,71.0
61185,13.0,3.0,2.0,1.0,19.0
41836,35.0,22.0,2.0,7.0,66.0
56416,97.0,11.0,2.0,5.0,115.0
11609,48.0,23.0,2.0,1.0,74.0
12793,150.0,30.0,74.12481095,35.0,300.0
46570,39.0,27.0,8.0,1.0,75.0
37287,26.0,82.06801162,19.0,2.0,148.0
84783,17.0,3.0,2.0,1.0,23.0
7822,17.0,3.0,2.0,1.0,23.0
5781,11.0,20.0,2.0,1.0,34.0
60241,21.0,3.0,2.0,1.0,27.0
70243,125.0,36.0,26.0,43.06978837,233.0
89401,35.0,15.0,2.0,16.0,68.0
94486,12.0,6.0,2.0,2.0,22.0
36057,25.0,10.0,2.0,1.0,38.0
15904,11.0,3.0,2.0,1.0,17.0
60677,371.59943230000005,3.0,2.0,22.0,446.3551916
66646,371.59943230000005,3.0,2.0,6.0,446.3551916
50195,12.0,23.0,2.0,1.0,38.0
91207,20.0,3.0,2.0,11.0,36.0
23045,145.0,3.0,2.0,1.0,151.0
53669,13.0,18.0,2.0,1.0,34.0
47536,63.0,40.0,43.0,5.0,151.0
28780,80.0,28.0,18.0,2.0,128.0
85223,19.0,10.0,2.0,1.0,32.0
33737,149.0,3.0,2.0,2.0,156.0
57864,18.0,3.0,2.0,4.0,27.0
60263,32.0,37.0,3.0,1.0,73.0
60247,49.0,3.0,2.0,8.0,62.0
66858,49.0,23.0,6.0,3.0,81.0
53171,29.0,11.0,2.0,1.0,43.0
73912,68.0,3.0,2.0,16.0,89.0
14217,22.0,3.0,2.0,1.0,28.0
1917,14.0,4.0,2.0,1.0,21.0
44995,19.0,7.0,2.0,1.0,29.0
28390,97.0,8.0,2.0,11.0,118.0
10051,112.0,3.0,2.0,1.0,118.0
44862,71.0,36.0,7.0,3.0,117.0
19599,97.0,13.0,2.0,2.0,114.0
61171,19.0,3.0,2.0,1.0,25.0
19852,23.0,6.0,2.0,5.0,36.0
29568,44.0,49.0,34.0,5.0,132.0
45494,43.0,17.0,32.0,43.06978837,142.0
85067,102.0,3.0,2.0,4.0,111.0
26025,371.59943230000005,3.0,2.0,1.0,446.3551916
38210,75.0,3.0,28.0,1.0,107.0
16074,11.0,3.0,2.0,1.0,17.0
8593,31.0,24.0,2.0,1.0,58.0
70299,44.0,3.0,2.0,9.0,58.0
82903,61.0,55.0,23.0,8.0,147.0
26672,13.0,30.0,23.0,1.0,67.0
11722,133.0,3.0,2.0,1.0,139.0
91730,36.0,26.0,2.0,7.0,71.0
97869,66.0,3.0,2.0,41.0,112.0
48869,12.0,24.0,2.0,1.0,39.0
18593,22.0,17.0,12.0,2.0,53.0
62880,93.0,10.0,41.0,4.0,148.0
21549,155.0,21.0,30.0,3.0,209.0
15438,41.0,3.0,2.0,4.0,50.0
52749,70.0,13.0,60.0,1.0,144.0
57053,13.0,3.0,2.0,1.0,19.0
35381,21.0,24.0,3.0,1.0,49.0
25546,130.0,19.0,2.0,2.0,153.0
52800,41.0,33.0,9.0,3.0,86.0
3535,49.0,43.0,2.0,1.0,95.0
2425,110.0,3.0,11.0,3.0,127.0
39724,21.0,14.0,10.0,1.0,46.0
39715,100.0,23.0,21.0,27.0,171.0
16721,48.0,24.0,72.0,1.0,145.0
8975,82.0,17.0,15.0,3.0,117.0
18533,51.0,8.0,2.0,1.0,62.0
33606,11.0,3.0,2.0,4.0,20.0
51300,32.0,41.0,3.0,4.0,80.0
71453,78.0,3.0,2.0,9.0,92.0
60181,76.0,3.0,2.0,1.0,82.0
95378,112.0,20.0,16.0,1.0,149.0
70702,13.0,3.0,2.0,1.0,19.0
44132,128.0,33.0,7.0,16.0,184.0
75618,44.0,24.0,36.0,3.0,107.0
6458,93.0,22.0,4.0,3.0,122.0
78415,29.0,14.0,5.0,3.0,51.0
33417,14.0,19.0,2.0,1.0,36.0
65770,97.0,9.0,19.0,39.0,164.0
2054,14.0,3.0,2.0,1.0,20.0
22070,52.0,27.0,5.0,3.0,87.0
74681,95.0,3.0,2.0,1.0,101.0
82927,72.0,31.0,9.0,2.0,114.0
70311,14.0,34.0,9.0,2.0,59.0
80476,70.0,82.06801162,74.12481095,11.0,323.0
61772,17.0,23.0,2.0,1.0,43.0
88843,10.0,11.0,2.0,1.0,24.0
28204,76.0,4.0,9.0,10.0,99.0
43182,85.0,65.0,18.0,8.0,176.0
29030,80.0,22.0,2.0,1.0,105.0
11646,50.0,24.0,2.0,1.0,77.0
77076,11.0,3.0,2.0,1.0,17.0
18294,65.0,41.0,14.0,28.0,148.0
4002,75.0,33.0,9.0,2.0,119.0
57357,128.0,3.0,2.0,1.0,134.0
66591,44.0,3.0,2.0,1.0,50.0
45279,11.0,6.0,2.0,3.0,22.0
34382,136.0,57.0,4.0,17.0,214.0
90567,76.0,4.0,4.0,2.0,86.0
26832,77.0,20.0,11.0,2.0,110.0
83607,146.0,14.0,2.0,7.0,169.0
1510,32.0,32.0,74.12481095,5.0,148.0
57473,81.0,30.0,46.0,18.0,175.0
7909,17.0,3.0,2.0,3.0,25.0
61058,99.0,15.0,2.0,1.0,117.0
5091,57.0,12.0,2.0,4.0,75.0
49665,137.0,37.0,24.0,17.0,215.0
53775,132.0,25.0,44.0,2.0,203.0
24199,318.0,54.0,6.0,15.0,393.0
90576,12.0,3.0,2.0,2.0,19.0
56455,206.0,3.0,2.0,1.0,212.0
4619,54.0,41.0,27.0,7.0,129.0
83428,15.0,3.0,2.0,1.0,21.0
62408,37.0,10.0,2.0,3.0,52.0
43617,135.0,32.0,35.0,7.0,209.0
78727,62.0,3.0,2.0,1.0,68.0
85189,31.0,3.0,2.0,4.0,40.0
43068,20.0,35.0,3.0,10.0,68.0
14213,58.0,5.0,3.0,1.0,67.0
44899,52.0,3.0,2.0,1.0,58.0
86953,16.0,3.0,2.0,12.0,33.0
91924,13.0,5.0,2.0,1.0,21.0
59148,12.0,3.0,2.0,1.0,18.0
92807,43.0,52.0,32.0,25.0,152.0
56362,60.0,3.0,2.0,1.0,66.0
73531,89.0,15.0,3.0,15.0,122.0
28263,19.0,24.0,2.0,1.0,46.0
9436,55.0,12.0,7.0,3.0,77.0
69237,26.0,5.0,2.0,1.0,34.0
81030,81.0,3.0,2.0,1.0,87.0
55947,50.0,22.0,44.0,7.0,123.0
50540,57.0,34.0,48.0,3.0,142.0
12705,36.0,34.0,22.0,5.0,97.0
20436,124.0,3.0,2.0,1.0,130.0
70614,23.0,3.0,2.0,1.0,29.0
83771,53.0,55.0,46.0,22.0,176.0
90719,16.0,14.0,2.0,1.0,33.0
68330,183.0,34.0,38.0,18.0,273.0
32091,55.0,27.0,2.0,3.0,87.0
10646,57.0,38.0,25.0,13.0,133.0
18369,86.0,73.0,71.0,8.0,238.0
7470,227.0,43.0,24.0,43.06978837,380.0
25234,33.0,26.0,16.0,1.0,76.0
98092,48.0,3.0,2.0,3.0,56.0
5092,169.0,15.0,10.0,3.0,197.0
94436,86.0,3.0,2.0,2.0,93.0
16840,10.0,15.0,2.0,1.0,28.0
43064,32.0,54.0,2.0,4.0,92.0
99477,10.0,7.0,2.0,1.0,20.0
12467,42.0,3.0,2.0,1.0,48.0
94677,371.59943230000005,3.0,2.0,6.0,446.3551916
44417,10.0,3.0,2.0,5.0,20.0
93520,50.0,23.0,7.0,4.0,84.0
55321,75.0,10.0,2.0,1.0,88.0
39,122.0,25.0,19.0,7.0,173.0
65745,126.0,32.0,22.0,1.0,181.0
75727,42.0,3.0,2.0,2.0,49.0
56235,57.0,15.0,2.0,5.0,79.0
50187,13.0,3.0,2.0,1.0,19.0
81912,13.0,6.0,2.0,1.0,22.0
98234,13.0,7.0,2.0,1.0,23.0
55595,76.0,44.0,53.0,2.0,175.0
74686,13.0,3.0,2.0,1.0,19.0
98780,22.0,3.0,2.0,2.0,29.0
11027,54.0,12.0,32.0,11.0,109.0
27499,88.0,41.0,10.0,12.0,151.0
99172,57.0,3.0,2.0,1.0,63.0
82610,52.0,36.0,2.0,1.0,91.0
74161,17.0,3.0,2.0,2.0,24.0
3486,21.0,33.0,2.0,1.0,57.0
55152,22.0,30.0,21.0,1.0,74.0
49450,147.0,27.0,24.0,1.0,199.0
74725,45.0,8.0,2.0,1.0,56.0
40754,42.0,17.0,35.0,12.0,106.0
81111,123.0,29.0,19.0,12.0,183.0
76510,21.0,38.0,15.0,5.0,79.0
93115,27.0,3.0,2.0,1.0,33.0
43662,87.0,8.0,3.0,1.0,99.0
49456,67.0,22.0,29.0,29.0,147.0
91285,59.0,56.0,34.0,1.0,150.0
24234,94.0,3.0,2.0,2.0,101.0
96817,38.0,16.0,5.0,1.0,60.0
510,74.0,15.0,2.0,5.0,96.0
92039,64.0,37.0,10.0,9.0,120.0
97754,93.0,39.0,2.0,1.0,135.0
94782,11.0,3.0,2.0,1.0,17.0
11457,94.0,19.0,31.0,2.0,146.0
40330,17.0,19.0,2.0,1.0,39.0
6056,10.0,3.0,2.0,2.0,17.0
4436,72.0,13.0,5.0,2.0,92.0
57408,175.0,19.0,3.0,7.0,204.0
62083,33.0,24.0,37.0,5.0,99.0
76182,25.0,34.0,19.0,1.0,79.0
35039,30.0,14.0,2.0,6.0,52.0
98621,241.0,15.0,2.0,3.0,261.0
70700,18.0,3.0,2.0,1.0,24.0
39531,39.0,35.0,2.0,2.0,78.0
58321,180.0,3.0,2.0,3.0,188.0
69084,57.0,82.06801162,46.0,5.0,195.0
40741,244.0,27.0,2.0,12.0,285.0
90052,262.0,54.0,2.0,9.0,327.0
99579,66.0,41.0,14.0,12.0,133.0
48309,64.0,3.0,2.0,1.0,70.0
99454,21.0,14.0,68.0,3.0,106.0
45072,59.0,27.0,2.0,2.0,90.0
60137,110.0,3.0,2.0,1.0,116.0
34705,151.0,3.0,2.0,3.0,159.0
23386,17.0,3.0,2.0,1.0,23.0
40751,27.0,25.0,41.0,15.0,108.0
57082,52.0,50.0,8.0,1.0,111.0
89330,92.0,3.0,2.0,27.0,124.0
40811,45.0,39.0,2.0,1.0,87.0
55161,19.0,5.0,4.0,1.0,29.0
12456,20.0,3.0,2.0,7.0,32.0
65852,20.0,27.0,3.0,5.0,55.0
83496,24.0,3.0,2.0,1.0,30.0
88180,102.0,52.0,2.0,4.0,160.0
27193,58.0,43.0,4.0,3.0,108.0
40345,60.0,14.0,2.0,2.0,78.0
82255,16.0,3.0,2.0,5.0,26.0
94251,31.0,10.0,4.0,7.0,52.0
44724,59.0,21.0,20.0,3.0,103.0
20664,68.0,23.0,2.0,19.0,112.0
63598,122.0,37.0,8.0,13.0,180.0
40682,20.0,36.0,2.0,1.0,59.0
17397,12.0,6.0,2.0,1.0,21.0
33182,21.0,9.0,2.0,1.0,33.0
65534,14.0,3.0,2.0,1.0,20.0
62726,12.0,3.0,2.0,1.0,18.0
30574,120.0,37.0,54.0,15.0,226.0
17782,50.0,22.0,30.0,5.0,107.0
94153,12.0,7.0,2.0,1.0,22.0
82096,194.0,3.0,2.0,7.0,206.0
47947,28.0,3.0,2.0,9.0,42.0
21585,148.0,56.0,2.0,4.0,210.0
39869,135.0,43.0,30.0,1.0,209.0
53218,104.0,3.0,2.0,1.0,110.0
75614,24.0,34.0,22.0,3.0,83.0
73237,21.0,3.0,2.0,2.0,28.0
32461,120.0,18.0,2.0,6.0,146.0
71433,75.0,32.0,56.0,10.0,173.0
36069,15.0,8.0,2.0,1.0,26.0
93969,81.0,31.0,62.0,1.0,175.0
36807,38.0,29.0,2.0,1.0,70.0
22632,13.0,15.0,13.0,1.0,42.0
43702,76.0,18.0,16.0,3.0,113.0
94146,19.0,3.0,2.0,5.0,29.0
80545,294.0,82.06801162,45.0,43.06978837,446.3551916
86319,107.0,3.0,2.0,1.0,113.0
93995,23.0,12.0,3.0,5.0,43.0
47097,197.0,22.0,13.0,4.0,236.0
52502,11.0,3.0,2.0,1.0,17.0
20108,251.0,3.0,2.0,1.0,257.0
96286,13.0,6.0,6.0,2.0,27.0
24879,34.0,12.0,2.0,8.0,56.0
63664,34.0,3.0,2.0,2.0,41.0
8610,11.0,3.0,2.0,1.0,17.0
87259,158.0,27.0,3.0,1.0,189.0
77904,53.0,72.0,35.0,1.0,161.0
80776,56.0,46.0,5.0,33.0,140.0
81418,25.0,3.0,11.0,10.0,49.0
32190,117.0,15.0,74.12481095,5.0,242.0
87200,36.0,9.0,2.0,2.0,49.0
38109,73.0,82.06801162,74.12481095,43.06978837,397.0
66271,45.0,3.0,2.0,4.0,54.0
31099,26.0,13.0,2.0,1.0,42.0
56309,23.0,6.0,4.0,1.0,34.0
88675,158.0,43.0,2.0,1.0,204.0
97171,29.0,77.0,16.0,1.0,123.0
44303,60.0,3.0,2.0,1.0,66.0
72902,20.0,4.0,5.0,1.0,30.0
53786,138.0,18.0,6.0,42.0,204.0
93611,112.0,56.0,34.0,8.0,210.0
91632,80.0,20.0,42.0,26.0,168.0
58652,12.0,3.0,2.0,1.0,18.0
23327,11.0,11.0,14.0,2.0,38.0
64393,55.0,7.0,20.0,12.0,94.0
61275,13.0,3.0,2.0,1.0,19.0
28950,124.0,3.0,2.0,1.0,130.0
17777,92.0,5.0,16.0,8.0,121.0
151,55.0,3.0,2.0,2.0,62.0
51830,10.0,3.0,2.0,4.0,19.0
30529,112.0,3.0,2.0,1.0,118.0
84077,106.0,3.0,2.0,1.0,112.0
38495,63.0,21.0,37.0,4.0,125.0
865,32.0,30.0,2.0,1.0,65.0
93314,167.0,6.0,29.0,22.0,224.0
55750,21.0,17.0,3.0,10.0,51.0
75523,13.0,11.0,3.0,12.0,39.0
36198,42.0,25.0,8.0,1.0,76.0
1741,77.0,3.0,2.0,13.0,95.0
72763,94.0,31.0,17.0,17.0,159.0
22990,19.0,4.0,2.0,1.0,26.0
13882,75.0,38.0,2.0,2.0,117.0
62539,168.0,27.0,2.0,27.0,224.0
60945,21.0,25.0,4.0,1.0,51.0
55924,59.0,23.0,74.12481095,33.0,228.0
6146,20.0,12.0,20.0,1.0,53.0
4949,101.0,13.0,2.0,1.0,117.0
61787,24.0,16.0,4.0,5.0,49.0
82375,100.0,40.0,12.0,1.0,153.0
63788,11.0,3.0,2.0,1.0,17.0
63669,36.0,3.0,3.0,15.0,57.0
44518,33.0,10.0,2.0,1.0,46.0
98772,13.0,27.0,2.0,1.0,43.0
53012,22.0,3.0,2.0,1.0,28.0
11049,87.0,7.0,7.0,2.0,103.0
82223,95.0,27.0,4.0,1.0,127.0
22794,12.0,4.0,2.0,1.0,19.0
71355,12.0,3.0,2.0,1.0,18.0
35196,69.0,39.0,24.0,1.0,133.0
15226,62.0,35.0,42.0,17.0,156.0
33450,29.0,3.0,2.0,1.0,35.0
54382,28.0,20.0,4.0,1.0,53.0
30326,13.0,3.0,2.0,1.0,19.0
15051,20.0,27.0,2.0,1.0,50.0
72663,10.0,4.0,2.0,1.0,17.0
80417,18.0,11.0,13.0,1.0,43.0
43398,10.0,3.0,2.0,2.0,17.0
31392,14.0,30.0,2.0,1.0,47.0
76494,26.0,4.0,2.0,4.0,36.0
57456,13.0,3.0,2.0,1.0,19.0
79238,78.0,4.0,3.0,1.0,86.0
16714,25.0,9.0,2.0,1.0,37.0
82180,15.0,12.0,2.0,1.0,30.0
9863,67.0,10.0,2.0,1.0,80.0
87616,41.0,3.0,2.0,1.0,47.0
35899,64.0,12.0,8.0,11.0,95.0
80220,57.0,25.0,7.0,11.0,100.0
36282,47.0,12.0,2.0,7.0,68.0
75798,31.0,31.0,2.0,9.0,73.0
14571,104.0,3.0,2.0,1.0,110.0
50555,73.0,13.0,10.0,10.0,106.0
14960,165.0,3.0,2.0,2.0,172.0
80215,131.0,23.0,9.0,5.0,168.0
83359,76.0,3.0,2.0,1.0,82.0
9495,38.0,55.0,11.0,9.0,113.0
85208,64.0,4.0,2.0,8.0,78.0
25266,12.0,3.0,2.0,3.0,20.0
87277,49.0,30.0,7.0,1.0,87.0
74445,88.0,11.0,58.0,7.0,164.0
67939,304.0,47.0,3.0,1.0,355.0
97677,137.0,57.0,4.0,43.06978837,243.0
72426,30.0,3.0,2.0,3.0,38.0
55569,97.0,3.0,2.0,1.0,103.0
832,88.0,23.0,61.0,23.0,195.0
22736,83.0,13.0,2.0,5.0,103.0
32117,46.0,8.0,2.0,2.0,58.0
82241,87.0,13.0,4.0,2.0,106.0
24913,12.0,20.0,2.0,1.0,35.0
77463,90.0,8.0,2.0,2.0,102.0
8798,16.0,6.0,11.0,2.0,35.0
80307,53.0,3.0,2.0,1.0,59.0
63636,107.0,57.0,33.0,8.0,205.0
60652,53.0,3.0,2.0,3.0,61.0
55131,121.0,18.0,15.0,4.0,158.0
74858,36.0,31.0,38.0,6.0,111.0
77718,313.0,3.0,2.0,7.0,325.0
35518,57.0,82.06801162,35.0,4.0,208.0
51255,71.0,33.0,74.12481095,15.0,240.0
98393,39.0,56.0,22.0,28.0,145.0
16157,65.0,16.0,2.0,1.0,84.0
18116,54.0,56.0,2.0,3.0,115.0
93750,106.0,22.0,36.0,19.0,183.0
42443,72.0,3.0,2.0,1.0,78.0
38849,149.0,39.0,74.12481095,43.06978837,349.0
15776,46.0,3.0,2.0,1.0,52.0
16454,146.0,42.0,44.0,43.06978837,308.0
61923,67.0,12.0,2.0,1.0,82.0
8831,46.0,47.0,7.0,18.0,118.0
76293,47.0,3.0,3.0,5.0,58.0
33548,101.0,14.0,41.0,14.0,170.0
41957,31.0,23.0,2.0,4.0,60.0
3375,79.0,3.0,2.0,1.0,85.0
51769,11.0,4.0,2.0,1.0,18.0
21452,57.0,22.0,39.0,7.0,125.0
86544,11.0,3.0,2.0,1.0,17.0
3822,84.0,20.0,2.0,16.0,122.0
76251,27.0,24.0,2.0,1.0,54.0
38446,163.0,13.0,2.0,1.0,179.0
874,110.0,34.0,7.0,1.0,152.0
64740,99.0,19.0,15.0,1.0,134.0
80635,42.0,82.06801162,7.0,43.06978837,328.0
77708,55.0,15.0,2.0,1.0,73.0
25212,47.0,31.0,10.0,13.0,101.0
40243,60.0,21.0,2.0,1.0,84.0
55356,26.0,5.0,4.0,1.0,36.0
42716,12.0,3.0,2.0,1.0,18.0
89353,81.0,41.0,2.0,3.0,127.0
9525,37.0,17.0,6.0,5.0,65.0
83700,81.0,12.0,4.0,1.0,98.0
3587,233.0,23.0,2.0,9.0,267.0
5035,19.0,3.0,2.0,1.0,25.0
9166,28.0,3.0,2.0,1.0,34.0
26044,130.0,67.0,3.0,8.0,208.0
9639,19.0,15.0,4.0,13.0,51.0
80737,251.0,24.0,6.0,1.0,282.0
55665,14.0,3.0,2.0,2.0,21.0
66378,34.0,6.0,2.0,2.0,44.0
75209,24.0,50.0,18.0,1.0,93.0
64257,14.0,3.0,14.0,43.06978837,78.0
66478,97.0,29.0,33.0,9.0,168.0
48721,33.0,14.0,18.0,7.0,72.0
20478,59.0,3.0,2.0,6.0,70.0
443,22.0,18.0,41.0,1.0,82.0
91394,10.0,25.0,2.0,1.0,38.0
98641,102.0,9.0,2.0,1.0,114.0
49338,13.0,3.0,2.0,5.0,23.0
37310,53.0,71.0,2.0,7.0,133.0
21596,11.0,3.0,2.0,1.0,17.0
82205,59.0,22.0,40.0,12.0,133.0
31003,68.0,3.0,2.0,6.0,79.0
28483,27.0,3.0,2.0,1.0,33.0
93937,28.0,3.0,2.0,1.0,34.0
78023,28.0,3.0,2.0,4.0,37.0
76341,50.0,58.0,3.0,12.0,123.0
21598,19.0,32.0,7.0,1.0,59.0
69012,48.0,50.0,9.0,4.0,111.0
93600,19.0,3.0,2.0,1.0,25.0
64245,45.0,14.0,7.0,5.0,71.0
97477,109.0,3.0,2.0,1.0,115.0
89977,139.0,17.0,74.12481095,15.0,271.0
36661,16.0,3.0,2.0,3.0,24.0
76195,29.0,7.0,25.0,1.0,62.0
41688,109.0,21.0,38.0,19.0,187.0
78990,43.0,4.0,2.0,4.0,53.0
76596,75.0,3.0,2.0,12.0,92.0
33864,85.0,3.0,2.0,1.0,91.0
97892,74.0,3.0,2.0,6.0,85.0
54907,18.0,9.0,3.0,1.0,31.0
28351,64.0,12.0,11.0,16.0,103.0
70053,18.0,65.0,9.0,1.0,93.0
49011,86.0,25.0,2.0,3.0,116.0
88783,69.0,3.0,2.0,1.0,75.0
32073,76.0,3.0,2.0,1.0,82.0
27500,14.0,3.0,2.0,6.0,25.0
94344,202.0,13.0,2.0,1.0,218.0
28401,94.0,7.0,14.0,11.0,126.0
54154,54.0,82.06801162,8.0,1.0,240.0
49436,80.0,3.0,39.0,2.0,124.0
89303,53.0,3.0,2.0,11.0,69.0
64662,11.0,3.0,2.0,1.0,17.0
97046,124.0,27.0,3.0,1.0,155.0
43918,101.0,69.0,45.0,12.0,227.0
11347,35.0,12.0,2.0,1.0,50.0
